
======================================================================
[opendde-abag] docking 1ahw_abag.yaml (200 steps, 5 samples)
======================================================================
20:48:39  [tt-quietbox:tt3] loading model…
20:48:44  [tt-quietbox:tt3] 1ahw_abag
20:55:46  [tt-quietbox:tt3]   diffusion 133/200
20:55:46  [tt-quietbox:tt3]   diffusion 134/200
20:55:46  [tt-quietbox:tt3]   diffusion 135/200
20:55:47  [tt-quietbox:tt3]   diffusion 136/200
20:55:47  [tt-quietbox:tt3]   diffusion 137/200
20:55:47  [tt-quietbox:tt3]   diffusion 138/200
20:55:48  [tt-quietbox:tt3]   diffusion 139/200
20:55:48  [tt-quietbox:tt3]   diffusion 140/200
20:55:49  [tt-quietbox:tt3]   diffusion 141/200
20:55:49  [tt-quietbox:tt3]   diffusion 142/200
20:55:49  [tt-quietbox:tt3]   diffusion 143/200
20:55:50  [tt-quietbox:tt3]   diffusion 144/200
20:55:50  [tt-quietbox:tt3]   diffusion 145/200
20:55:51  [tt-quietbox:tt3]   diffusion 146/200
20:55:51  [tt-quietbox:tt3]   diffusion 147/200
20:55:51  [tt-quietbox:tt3]   diffusion 148/200
20:55:52  [tt-quietbox:tt3]   diffusion 149/200
20:55:52  [tt-quietbox:tt3]   diffusion 150/200
20:55:52  [tt-quietbox:tt3]   diffusion 151/200
20:55:53  [tt-quietbox:tt3]   diffusion 152/200
20:55:53  [tt-quietbox:tt3]   diffusion 153/200
20:55:54  [tt-quietbox:tt3]   diffusion 154/200
20:55:54  [tt-quietbox:tt3]   diffusion 155/200
20:55:54  [tt-quietbox:tt3]   diffusion 156/200
20:55:55  [tt-quietbox:tt3]   diffusion 157/200
20:55:55  [tt-quietbox:tt3]   diffusion 158/200
20:55:56  [tt-quietbox:tt3]   diffusion 159/200
20:55:56  [tt-quietbox:tt3]   diffusion 160/200
20:55:56  [tt-quietbox:tt3]   diffusion 161/200
20:55:57  [tt-quietbox:tt3]   diffusion 162/200
20:55:57  [tt-quietbox:tt3]   diffusion 163/200
20:55:57  [tt-quietbox:tt3]   diffusion 164/200
20:55:58  [tt-quietbox:tt3]   diffusion 165/200
20:55:58  [tt-quietbox:tt3]   diffusion 166/200
20:55:59  [tt-quietbox:tt3]   diffusion 167/200
20:55:59  [tt-quietbox:tt3]   diffusion 168/200
20:55:59  [tt-quietbox:tt3]   diffusion 169/200
20:56:00  [tt-quietbox:tt3]   diffusion 170/200
20:56:00  [tt-quietbox:tt3]   diffusion 171/200
20:56:01  [tt-quietbox:tt3]   diffusion 172/200
20:56:01  [tt-quietbox:tt3]   diffusion 173/200
20:56:01  [tt-quietbox:tt3]   diffusion 174/200
20:56:02  [tt-quietbox:tt3]   diffusion 175/200
20:56:02  [tt-quietbox:tt3]   diffusion 176/200
20:56:03  [tt-quietbox:tt3]   diffusion 177/200
20:56:03  [tt-quietbox:tt3]   diffusion 178/200
20:56:03  [tt-quietbox:tt3]   diffusion 179/200
20:56:04  [tt-quietbox:tt3]   diffusion 180/200
20:56:04  [tt-quietbox:tt3]   diffusion 181/200
20:56:04  [tt-quietbox:tt3]   diffusion 182/200
20:56:05  [tt-quietbox:tt3]   diffusion 183/200
20:56:05  [tt-quietbox:tt3]   diffusion 184/200
20:56:06  [tt-quietbox:tt3]   diffusion 185/200
20:56:06  [tt-quietbox:tt3]   diffusion 186/200
20:56:06  [tt-quietbox:tt3]   diffusion 187/200
20:56:07  [tt-quietbox:tt3]   diffusion 188/200
20:56:07  [tt-quietbox:tt3]   diffusion 189/200
20:56:07  [tt-quietbox:tt3]   diffusion 190/200
20:56:08  [tt-quietbox:tt3]   diffusion 191/200
20:56:08  [tt-quietbox:tt3]   diffusion 192/200
20:56:09  [tt-quietbox:tt3]   diffusion 193/200
20:56:09  [tt-quietbox:tt3]   diffusion 194/200
20:56:09  [tt-quietbox:tt3]   diffusion 195/200
20:56:10  [tt-quietbox:tt3]   diffusion 196/200
20:56:10  [tt-quietbox:tt3]   diffusion 197/200
20:56:10  [tt-quietbox:tt3]   diffusion 198/200
20:56:11  [tt-quietbox:tt3]   diffusion 199/200
20:56:42  [tt-quietbox:tt3]   saving
20:56:42  [tt-quietbox:tt3] ✓ 1ahw_abag — 477.6s

Done: 1 ok, 0 failed — /home/ttuser/.coworker/wt/perfwar-qb1-rebaseline-and-land/arms/L4/opendde_results_1ahw_abag/results.json

##############################################################################
RELEASE GATE — 1ahw_abag.yaml (opendde-abag), 200 steps / 5 samples, seed 0
##############################################################################
model            global DockQ  mean fnat     floor     wall  result
opendde-abag            0.829      0.922     >=0.5     492s  PASS
##############################################################################
GATE PASS — opendde-abag cleared parse + DockQ floor
