
======================================================================
[opendde-abag] docking 1ahw_abag.yaml (200 steps, 5 samples)
======================================================================
19:10:01  [tt-quietbox:tt3] loading model…
19:10:07  [tt-quietbox:tt3] 1ahw_abag
19:17:27  [tt-quietbox:tt3]   diffusion 183/200
19:17:27  [tt-quietbox:tt3]   diffusion 184/200
19:17:28  [tt-quietbox:tt3]   diffusion 185/200
19:17:28  [tt-quietbox:tt3]   diffusion 186/200
19:17:29  [tt-quietbox:tt3]   diffusion 187/200
19:17:29  [tt-quietbox:tt3]   diffusion 188/200
19:17:30  [tt-quietbox:tt3]   diffusion 189/200
19:17:30  [tt-quietbox:tt3]   diffusion 190/200
19:17:30  [tt-quietbox:tt3]   diffusion 191/200
19:17:31  [tt-quietbox:tt3]   diffusion 192/200
19:17:31  [tt-quietbox:tt3]   diffusion 193/200
19:17:32  [tt-quietbox:tt3]   diffusion 194/200
19:17:32  [tt-quietbox:tt3]   diffusion 195/200
19:17:33  [tt-quietbox:tt3]   diffusion 196/200
19:17:33  [tt-quietbox:tt3]   diffusion 197/200
19:17:33  [tt-quietbox:tt3]   diffusion 198/200
19:17:34  [tt-quietbox:tt3]   diffusion 199/200
19:18:05  [tt-quietbox:tt3]   saving
19:18:05  [tt-quietbox:tt3] ✓ 1ahw_abag — 478.9s

Done: 1 ok, 0 failed — /home/ttuser/.coworker/wt/perfwar-qb1-rebaseline-and-land/arms/L0/opendde_results_1ahw_abag/results.json

##############################################################################
RELEASE GATE — 1ahw_abag.yaml (opendde-abag), 200 steps / 5 samples, seed 0
##############################################################################
model            global DockQ  mean fnat     floor     wall  result
opendde-abag            0.829      0.922     >=0.5     493s  PASS
##############################################################################
GATE PASS — opendde-abag cleared parse + DockQ floor
