
======================================================================
[protenix-v2] folding prot.yaml (200 steps, 5 samples)
======================================================================
19:08:17  [tt-quietbox:tt3] loading model…
19:08:21  [tt-quietbox:tt3] prot
19:08:50  [tt-quietbox:tt3]   diffusion 170/200
19:08:50  [tt-quietbox:tt3]   diffusion 171/200
19:08:50  [tt-quietbox:tt3]   diffusion 172/200
19:08:50  [tt-quietbox:tt3]   diffusion 173/200
19:08:50  [tt-quietbox:tt3]   diffusion 174/200
19:08:50  [tt-quietbox:tt3]   diffusion 175/200
19:08:51  [tt-quietbox:tt3]   diffusion 176/200
19:08:51  [tt-quietbox:tt3]   diffusion 177/200
19:08:51  [tt-quietbox:tt3]   diffusion 178/200
19:08:51  [tt-quietbox:tt3]   diffusion 179/200
19:08:51  [tt-quietbox:tt3]   diffusion 180/200
19:08:51  [tt-quietbox:tt3]   diffusion 181/200
19:08:51  [tt-quietbox:tt3]   diffusion 182/200
19:08:51  [tt-quietbox:tt3]   diffusion 183/200
19:08:51  [tt-quietbox:tt3]   diffusion 184/200
19:08:51  [tt-quietbox:tt3]   diffusion 185/200
19:08:51  [tt-quietbox:tt3]   diffusion 186/200
19:08:52  [tt-quietbox:tt3]   diffusion 187/200
19:08:52  [tt-quietbox:tt3]   diffusion 188/200
19:08:52  [tt-quietbox:tt3]   diffusion 189/200
19:08:52  [tt-quietbox:tt3]   diffusion 190/200
19:08:52  [tt-quietbox:tt3]   diffusion 191/200
19:08:52  [tt-quietbox:tt3]   diffusion 192/200
19:08:52  [tt-quietbox:tt3]   diffusion 193/200
19:08:52  [tt-quietbox:tt3]   diffusion 194/200
19:08:53  [tt-quietbox:tt3]   diffusion 195/200
19:08:53  [tt-quietbox:tt3]   diffusion 196/200
19:08:53  [tt-quietbox:tt3]   diffusion 197/200
19:08:53  [tt-quietbox:tt3]   diffusion 198/200
19:08:53  [tt-quietbox:tt3]   diffusion 199/200
19:08:54  [tt-quietbox:tt3]   saving
19:08:54  [tt-quietbox:tt3] ✓ prot — 33.2s

Done: 1 ok, 0 failed — /home/ttuser/.coworker/wt/perfwar-qb1-rebaseline-and-land/arms/L0/protenix_results_prot/results.json
Predicted chains: [('A', 117)]
Ground truth chains: [('A', 117)]

Best chain matching (117 common residues of 117 predicted / 117 ground truth):
  A -> A (117 common residues)

==================================================
Protein: prot, Model: 0
RMSD: 1.3828 Å   TM-score: 0.9527
==================================================

Predicted chains: [('A', 117)]
Ground truth chains: [('A', 117)]

Best chain matching (117 common residues of 117 predicted / 117 ground truth):
  A -> A (117 common residues)

==================================================
Protein: prot, Model: 1
RMSD: 1.3958 Å   TM-score: 0.9502
==================================================

Predicted chains: [('A', 117)]
Ground truth chains: [('A', 117)]

Best chain matching (117 common residues of 117 predicted / 117 ground truth):
  A -> A (117 common residues)

==================================================
Protein: prot, Model: 2
RMSD: 1.3934 Å   TM-score: 0.9514
==================================================

Predicted chains: [('A', 117)]
Ground truth chains: [('A', 117)]

Best chain matching (117 common residues of 117 predicted / 117 ground truth):
  A -> A (117 common residues)

==================================================
Protein: prot, Model: 3
RMSD: 1.3638 Å   TM-score: 0.9533
==================================================

Predicted chains: [('A', 117)]
Ground truth chains: [('A', 117)]

Best chain matching (117 common residues of 117 predicted / 117 ground truth):
  A -> A (117 common residues)

==================================================
Protein: prot, Model: 4
RMSD: 1.2749 Å   TM-score: 0.9593
==================================================

############################################################
GROUND-TRUTH ACCURACY — prot (5 samples)
  model 0: RMSD  1.383 Å   TM 0.953 <- best confidence (gated)
  model 1: RMSD  1.396 Å   TM 0.950
  model 2: RMSD  1.393 Å   TM 0.951
  model 3: RMSD  1.364 Å   TM 0.953
  model 4: RMSD  1.275 Å   TM 0.959
  oracle-best sample: model 4 RMSD 1.275 Å TM 0.959
############################################################


##############################################################################
RELEASE GATE — prot.yaml (prot), 200 steps / 5 samples, seed 0
##############################################################################
model            RMSD (A)      TM           floor     wall  result
protenix-v2         1.383   0.953     <=6.0/>=0.5      46s  PASS
##############################################################################
GATE PASS — all models cleared parse + ground-truth floor
