
======================================================================
[opendde] folding prot.yaml (200 steps, 5 samples)
======================================================================
19:09:05  [tt-quietbox:tt3] loading model…
19:09:11  [tt-quietbox:tt3] prot
Protein: prot, Model: 0
RMSD: 3.6560 Å   TM-score: 0.8319
==================================================

Predicted chains: [('A', 117)]
Ground truth chains: [('A', 117)]

Best chain matching (117 common residues of 117 predicted / 117 ground truth):
  A -> A (117 common residues)

==================================================
Protein: prot, Model: 1
RMSD: 3.6397 Å   TM-score: 0.8270
==================================================

Predicted chains: [('A', 117)]
Ground truth chains: [('A', 117)]

Best chain matching (117 common residues of 117 predicted / 117 ground truth):
  A -> A (117 common residues)

==================================================
Protein: prot, Model: 2
RMSD: 3.7104 Å   TM-score: 0.8416
==================================================

Predicted chains: [('A', 117)]
Ground truth chains: [('A', 117)]

Best chain matching (117 common residues of 117 predicted / 117 ground truth):
  A -> A (117 common residues)

==================================================
Protein: prot, Model: 3
RMSD: 3.7134 Å   TM-score: 0.8231
==================================================

Predicted chains: [('A', 117)]
Ground truth chains: [('A', 117)]

Best chain matching (117 common residues of 117 predicted / 117 ground truth):
  A -> A (117 common residues)

==================================================
Protein: prot, Model: 4
RMSD: 3.5788 Å   TM-score: 0.8320
==================================================

############################################################
GROUND-TRUTH ACCURACY — prot (5 samples)
  model 0: RMSD  3.656 Å   TM 0.832 <- best confidence (gated)
  model 1: RMSD  3.640 Å   TM 0.827
  model 2: RMSD  3.710 Å   TM 0.842
  model 3: RMSD  3.713 Å   TM 0.823
  model 4: RMSD  3.579 Å   TM 0.832
  oracle-best sample: model 4 RMSD 3.579 Å TM 0.832
############################################################


##############################################################################
RELEASE GATE — prot.yaml (prot), 200 steps / 5 samples, seed 0
##############################################################################
model            RMSD (A)      TM           floor     wall  result
opendde             3.656   0.832     <=6.0/>=0.5      52s  PASS
##############################################################################
GATE PASS — all models cleared parse + ground-truth floor
