generator,threshold,N,metric,ranker,median_rank,rank_lo,rank_hi,metric_value,ci_lo,ci_hi
protenix-v2,0.23,50,ranked_success,deeprank_ab,1.0,1.0,2.0,0.48549006211180123,0.40993788819875776,0.5652173913043478
protenix-v2,0.23,50,ranked_success,abag_rank,9.0,8.0,10.0,0.373551552795031,0.2981366459627329,0.4472049689440994
protenix-v2,0.8,5,gap_recovered,iptm,8.0,4.0,9.0,-0.08649909451795422,-0.2683490428229237,0.10906922371067486
protenix-v2,0.8,5,gap_recovered,ptm,8.0,3.0,9.0,-0.0826659461481235,-0.266845119107113,0.10896874799117161
protenix-v2,0.8,5,gap_recovered,ranking_score,7.0,3.0,8.0,-0.06905303307042641,-0.25480903229858626,0.12660633840203825
protenix-v2,0.8,5,gap_recovered,complex_plddt,3.0,1.0,9.0,0.08036252425516202,-0.14045873870989012,0.2706013043128457
protenix-v2,0.8,5,gap_recovered,pdockq2,4.0,2.0,8.0,0.041230231502879584,-0.0806704734064952,0.15856780907307075
protenix-v2,0.8,5,gap_recovered,ipsae,2.0,1.0,7.0,0.13030328383813738,-0.010378346634832407,0.27493878372641706
protenix-v2,0.8,5,gap_recovered,anticonf,6.0,3.0,9.0,-0.022211280626402208,-0.15700821556947103,0.12588011714125494
protenix-v2,0.8,5,gap_recovered,pss,1.0,1.0,4.0,0.25028802593510746,0.06349028400597918,0.43819244960998127
protenix-v2,0.8,5,gap_recovered,deeprank_ab,4.0,2.0,7.0,0.035340485515051805,-0.11177125301129796,0.17707971851901425
protenix-v2,0.8,5,gap_recovered,abag_rank,10.0,9.0,10.0,-0.22675373585072867,-0.36272494797674204,-0.0993620791158416
protenix-v2,0.8,5,ranked_success,iptm,8.0,4.0,9.0,0.13373678260869565,0.08822981366459627,0.18428881987577636
protenix-v2,0.8,5,ranked_success,ptm,8.0,3.0,9.0,0.13398233229813666,0.08832142857142856,0.18409937888198757
protenix-v2,0.8,5,ranked_success,ranking_score,7.0,3.0,8.0,0.13459071428571429,0.08894332298136647,0.1852484472049689
protenix-v2,0.8,5,ranked_success,complex_plddt,3.0,1.0,9.0,0.14209902173913044,0.09689440993788821,0.19288819875776397
protenix-v2,0.8,5,ranked_success,pdockq2,4.0,2.0,8.0,0.1400767204968944,0.09559006211180125,0.1898152173913043
protenix-v2,0.8,5,ranked_success,ipsae,2.0,1.0,7.0,0.14442353726708074,0.09729813664596272,0.1973004658385093
protenix-v2,0.8,5,ranked_success,anticonf,6.0,3.0,9.0,0.13699316770186334,0.0923913043478261,0.18646040372670808
protenix-v2,0.8,5,ranked_success,pss,1.0,1.0,4.0,0.15014868633540374,0.10018555900621118,0.20574611801242237
protenix-v2,0.8,5,ranked_success,deeprank_ab,4.0,2.0,7.0,0.13980854658385095,0.09471972049689441,0.190527950310559
protenix-v2,0.8,5,ranked_success,abag_rank,10.0,9.0,10.0,0.12702631987577637,0.08288742236024844,0.1756521739130435
protenix-v2,0.8,50,gap_recovered,iptm,6.0,3.0,8.5,-0.05408437710942883,-0.2759921346910741,0.15104395063298592
protenix-v2,0.8,50,gap_recovered,ptm,6.0,1.0,9.0,-0.053517542289877124,-0.28882145137011667,0.17526023239008706
protenix-v2,0.8,50,gap_recovered,ranking_score,6.0,2.0,9.0,-0.05316334916420597,-0.2899844821457983,0.17378173378173042
protenix-v2,0.8,50,gap_recovered,complex_plddt,6.0,1.5,9.0,-0.05854942826933203,-0.3714447134786119,0.21149588741536332
protenix-v2,0.8,50,gap_recovered,pdockq2,9.0,4.0,10.0,-0.21827993448929228,-0.5559985858588044,0.051316926506757204
protenix-v2,0.8,50,gap_recovered,ipsae,3.0,1.0,6.0,0.10877723628737718,-0.015381177605805887,0.2574913505080753
protenix-v2,0.8,50,gap_recovered,anticonf,7.0,2.5,9.5,-0.10984619494934211,-0.4054868653896231,0.13420320740606784
protenix-v2,0.8,50,gap_recovered,pss,1.0,1.0,4.0,0.1713486506834338,0.046280367097348396,0.33271418238608946
protenix-v2,0.8,50,gap_recovered,deeprank_ab,3.0,1.0,7.5,0.1061551172453756,-0.08173618763774791,0.3147337944561951
protenix-v2,0.8,50,gap_recovered,abag_rank,10.0,8.0,10.0,-0.37697417743073036,-0.6265989009808945,-0.18074004692703616
protenix-v2,0.8,50,ranked_success,iptm,6.0,3.0,8.5,0.13045403726708074,0.08074534161490683,0.18633540372670807
protenix-v2,0.8,50,ranked_success,ptm,6.0,1.0,9.0,0.13068757763975156,0.08074534161490683,0.18633540372670807
protenix-v2,0.8,50,ranked_success,ranking_score,6.0,2.0,9.0,0.130683850931677,0.08074534161490683,0.18633540372670807
protenix-v2,0.8,50,ranked_success,complex_plddt,6.0,1.5,9.0,0.13049565217391304,0.08074534161490683,0.18633540372670807
protenix-v2,0.8,50,ranked_success,pdockq2,9.0,4.0,10.0,0.11191614906832296,0.06832298136645963,0.16149068322981366
protenix-v2,0.8,50,ranked_success,ipsae,3.0,1.0,6.0,0.1492240031055901,0.09822981366459627,0.20584006211180123
protenix-v2,0.8,50,ranked_success,anticonf,7.0,2.5,9.5,0.1243614906832298,0.07453416149068323,0.18012422360248448
protenix-v2,0.8,50,ranked_success,pss,1.0,1.0,4.0,0.1563656645962733,0.10559006211180125,0.21310559006211183
