generator,threshold,N,comparison,mean,lo,hi,significant
protenix-v2,0.23,50,complex_plddt - ranking_score,-0.49446256738381406,-0.7510733643181753,-0.2742731827272006,True
protenix-v2,0.23,50,pdockq2 - ranking_score,0.025629077302245753,-0.12865128446910531,0.17501345909492938,False
protenix-v2,0.23,50,ipsae - ranking_score,-0.3052780630150551,-0.5219882079351467,-0.11561350586532379,True
protenix-v2,0.23,50,anticonf - ranking_score,-0.05184966736129138,-0.1602320163603308,0.046653760117587026,False
protenix-v2,0.23,50,pss - ranking_score,-0.06543309411451156,-0.2563886770046123,0.12678538875081774,False
protenix-v2,0.23,50,deeprank_ab - ranking_score,0.15577408903829038,0.0,0.3130308911336974,False
protenix-v2,0.23,50,abag_rank - ranking_score,-0.310150244351953,-0.5240998114607947,-0.12142996199015921,True
protenix-v2,0.23,50,deeprank_ab - abag_rank,0.46592433339024336,0.23967213971605753,0.7084215812277216,True
protenix-v2,0.23,50,deeprank_ab - iptm,0.15577408903829038,0.0,0.3130308911336974,False
protenix-v2,0.8,5,iptm - ranking_score,-0.017446061447527795,-0.049113776158084314,0.008656655357940501,False
protenix-v2,0.8,5,ptm - ranking_score,-0.013612913077697072,-0.10974937368386282,0.07401387037137984,False
protenix-v2,0.8,5,complex_plddt - ranking_score,0.14941555732558845,-0.20775926015350588,0.4702418075594523,False
protenix-v2,0.8,5,pdockq2 - ranking_score,0.11028326457330599,-0.1294467059592036,0.33787042628636893,False
protenix-v2,0.8,5,ipsae - ranking_score,0.19935631690856379,-0.05780144626743949,0.4461951253212779,False
protenix-v2,0.8,5,anticonf - ranking_score,0.04684175244402422,-0.1335830808724288,0.20384726224783903,False
protenix-v2,0.8,5,pss - ranking_score,0.3193410590055339,0.08337768135490589,0.572695989646222,True
protenix-v2,0.8,5,deeprank_ab - ranking_score,0.10439351858547823,-0.039963992312110085,0.235532282042758,False
protenix-v2,0.8,5,abag_rank - ranking_score,-0.15770070278030224,-0.2849176484209922,-0.03462883133145768,True
protenix-v2,0.8,5,deeprank_ab - abag_rank,0.2620942213657805,0.13314146983566275,0.3835214027415964,True
protenix-v2,0.8,5,deeprank_ab - iptm,0.12183958003300602,-0.02152803489585559,0.25022263980614334,False
protenix-v2,0.8,50,iptm - ranking_score,-0.0009210279452228571,-0.1520536751853444,0.1554454547287353,False
protenix-v2,0.8,50,ptm - ranking_score,-0.0003541931256711566,-0.2156348766277701,0.21291696238467,False
protenix-v2,0.8,50,complex_plddt - ranking_score,-0.005386079105126065,-0.3585515021833661,0.32635344896757845,False
protenix-v2,0.8,50,pdockq2 - ranking_score,-0.16511658532508636,-0.5282655071420047,0.14609604416413058,False
protenix-v2,0.8,50,ipsae - ranking_score,0.16194058545158316,-0.10566181252472011,0.4638744684930206,False
protenix-v2,0.8,50,anticonf - ranking_score,-0.056682845785136146,-0.4279742481661817,0.28490231468287885,False
protenix-v2,0.8,50,pss - ranking_score,0.22451199984763975,-0.055497723781829336,0.5584227632674653,False
protenix-v2,0.8,50,deeprank_ab - ranking_score,0.15931846640958156,-0.1478948111862489,0.4897490113376431,False
protenix-v2,0.8,50,abag_rank - ranking_score,-0.32381082826652435,-0.5980877505197073,-0.10108476730917973,True
protenix-v2,0.8,50,deeprank_ab - abag_rank,0.48312929467610594,0.19940055239216317,0.8363935810256622,True
