generator,threshold,N,ranker,oracle,random,ranked,gap_recovered,gap_lo,gap_hi
protenix-v2,0.8,50,abag_rank,"(0.18633540372670807, 0.3167701863354037)","(0.0867080745341615, 0.1794409937888199)","(0.049689440993788817, 0.13043478260869565)",-0.37697417743073036,-0.6265989009808945,-0.18074004692703616
boltz2,0.23,5,iptm,"(0.3079192546583851, 0.4473920807453416)","(0.2260551242236025, 0.3529208074534161)","(0.2238796583850932, 0.3535403726708074)",-0.006128025006181179,-0.1071571059720732,0.09667744817056982
boltz2,0.23,5,ptm,"(0.3079192546583851, 0.4473920807453416)","(0.2260551242236025, 0.3529208074534161)","(0.21965760869565215, 0.3490077639751553)",-0.05722862873341578,-0.15207816642637487,0.04019821597000173
boltz2,0.23,5,ranking_score,"(0.3079192546583851, 0.4473920807453416)","(0.2260551242236025, 0.3529208074534161)","(0.2362111801242236, 0.36773524844720495)",0.14388230542587183,0.033742920462940265,0.25911941792241344
boltz2,0.23,5,complex_plddt,"(0.3079192546583851, 0.4473920807453416)","(0.2260551242236025, 0.3529208074534161)","(0.25130201863354035, 0.3848136645962733)",0.32590745146298455,0.16789423481870716,0.47788975718268395
boltz2,0.23,5,pdockq2,"(0.3079192546583851, 0.4473920807453416)","(0.2260551242236025, 0.3529208074534161)","(0.2304340062111801, 0.362082298136646)",0.08252506035689594,-0.05164137850763686,0.22705787471712646
boltz2,0.23,5,ipsae,"(0.3079192546583851, 0.4473920807453416)","(0.2260551242236025, 0.3529208074534161)","(0.22248214285714285, 0.35335403726708076)",-0.011943263208354935,-0.11880649823852664,0.1020715024522003
boltz2,0.23,5,anticonf,"(0.3079192546583851, 0.4473920807453416)","(0.2260551242236025, 0.3529208074534161)","(0.22707919254658387, 0.3581389751552795)",0.042509856292143926,-0.08251670549626268,0.1780029262086523
boltz2,0.23,5,pss,"(0.3079192546583851, 0.4473920807453416)","(0.2260551242236025, 0.3529208074534161)","(0.2482608695652174, 0.38540450310559)",0.3049779370193334,0.10720246919333243,0.49344098157198985
boltz2,0.23,5,deeprank_ab,"(0.3079192546583851, 0.4473920807453416)","(0.2260551242236025, 0.3529208074534161)","(0.2456164596273292, 0.37801242236024846)",0.2634748672211768,0.13282313244749572,0.4051561361736247
boltz2,0.23,5,abag_rank,"(0.3079192546583851, 0.4473920807453416)","(0.2260551242236025, 0.3529208074534161)","(0.2287562111801242, 0.36059239130434784)",0.06270394513607051,-0.05115751445086729,0.18802806733397895
boltz2,0.23,50,iptm,"(0.422360248447205, 0.577639751552795)","(0.22465760869565218, 0.35065527950310554)","(0.20496894409937888, 0.3416149068322981)",-0.058730424973984396,-0.16745852138146625,0.05627782282557882
boltz2,0.23,50,ptm,"(0.422360248447205, 0.577639751552795)","(0.22465760869565218, 0.35065527950310554)","(0.18633540372670807, 0.3167701863354037)",-0.17731622857926596,-0.2679760660607428,-0.09303483117705004
boltz2,0.23,50,ranking_score,"(0.422360248447205, 0.577639751552795)","(0.22465760869565218, 0.35065527950310554)","(0.2236024844720497, 0.36645962732919257)",0.03003117381633361,-0.09148378646221998,0.16079221215172876
boltz2,0.23,50,complex_plddt,"(0.422360248447205, 0.577639751552795)","(0.22465760869565218, 0.35065527950310554)","(0.2670807453416149, 0.4161490683229814)",0.2642378985591005,0.11226574438444539,0.4351135180406451
