target,gen,mean_tm,sd_tm,pss,oracle50_dockq,failing
9msc,boltz2,0.8827656359183673,0.11406343248580489,0.513594,0.1314200876514899,True
9mxu,boltz2,0.8606292000000001,0.11018841117787889,0.536191,0.08084074746030295,True
9mz6,boltz2,0.9807058497959183,0.029719532674524554,0.616203,0.5601517663416505,False
9mz7,boltz2,0.9465992057142858,0.05109782477924812,0.653919,0.30073742080547855,False
9mz8,boltz2,0.9581736612244898,0.06451554079171684,0.584842,0.6152264294346338,False
9mze,boltz2,0.794405907755102,0.1177002353184705,0.40299,0.08311206122787283,True
9mzf,boltz2,0.7941166751020408,0.11868870268252567,0.396125,0.06510872182955635,True
9n05,boltz2,0.9121512302040817,0.0636640839674134,0.642481,0.07803938232525971,True
9n09,boltz2,0.6735950571428572,0.1444841286459901,0.203952,0.7480821086129872,False
9n0e,boltz2,0.8027313640816326,0.12312438180285827,0.425366,0.07211736350304764,True
9n1p,boltz2,0.9121512302040817,0.0636640839674134,0.642481,0.08101579756018,True
9n1q,boltz2,0.7955284122448979,0.12636506829532557,0.412285,0.06345751795606121,True
9n2i,boltz2,0.7983435142857143,0.11641729258703234,0.418275,0.06347778819838965,True
9n38,boltz2,0.7987720832653062,0.15044873135930964,0.389905,0.3688809057618441,False
9n8i,boltz2,0.8182631567346939,0.08617182587065433,0.23546,0.9004306222909514,False
9n8n,boltz2,0.6824905902040818,0.10319567738825024,0.14501,0.007496619806477224,True
9ncd,boltz2,0.8898235004081634,0.03542716464776423,0.157645,0.057781547334159,True
9ncy,boltz2,0.9166940726530612,0.059294852145228574,0.433889,0.3444435293366979,False
9nkz,boltz2,0.9894894277551022,0.009117852180038102,0.958249,0.9356944341358896,False
9nl0,boltz2,0.9929864799999999,0.006691689693926647,0.96833,0.8740872151890348,False
9nl1,boltz2,0.9862661469387756,0.008696085148258148,0.595907,0.7141580176894186,False
9np0,boltz2,0.7556448440816327,0.15759051557217216,0.318895,0.007074160692600441,True
9nw4,boltz2,0.9378269428571427,0.10412633287464623,0.459808,0.6912885538661427,False
9nw7,boltz2,0.9313092040816326,0.10280259462681716,0.652918,0.07661738368325306,True
9nw8,boltz2,0.9313092040816326,0.10280259462681716,0.652918,0.07742576814100342,True
