00:33:27  [tt-quietbox:tt1]   diffusion 186/200
00:33:27  [tt-quietbox:tt1]   diffusion 187/200
00:33:28  [tt-quietbox:tt1]   diffusion 188/200
00:33:28  [tt-quietbox:tt1]   diffusion 189/200
00:33:29  [tt-quietbox:tt1]   diffusion 190/200
00:33:29  [tt-quietbox:tt1]   diffusion 191/200
00:33:30  [tt-quietbox:tt1]   diffusion 192/200
00:33:30  [tt-quietbox:tt1]   diffusion 193/200
00:33:31  [tt-quietbox:tt1]   diffusion 194/200
00:33:31  [tt-quietbox:tt1]   diffusion 195/200
00:33:31  [tt-quietbox:tt1]   diffusion 196/200
00:33:32  [tt-quietbox:tt1]   diffusion 197/200
00:33:32  [tt-quietbox:tt1]   diffusion 198/200
00:33:33  [tt-quietbox:tt1]   diffusion 199/200
00:33:33  [tt-quietbox:tt1]   confidence
00:33:57  [tt-quietbox:tt1]   saving
00:33:57  [tt-quietbox:tt1] ✓ 02_b108_tok688_bk704 — 254.4s
00:33:58  [tt-quietbox:tt1] 03_b168_tok748_bk768
00:33:58  [tt-quietbox:tt1]   prep
00:34:28  [tt-quietbox:tt1]   trunk 0/10
00:35:02  [tt-quietbox:tt1]   trunk 1/10
00:35:11  [tt-quietbox:tt1]   trunk 2/10
00:35:20  [tt-quietbox:tt1]   trunk 3/10
00:35:29  [tt-quietbox:tt1]   trunk 4/10
00:35:38  [tt-quietbox:tt1]   trunk 5/10
00:35:47  [tt-quietbox:tt1]   trunk 6/10
00:35:56  [tt-quietbox:tt1]   trunk 7/10
00:36:04  [tt-quietbox:tt1]   trunk 8/10
00:36:13  [tt-quietbox:tt1]   trunk 9/10
00:36:31  [tt-quietbox:tt1]   diffusion 0/200
00:36:56  [tt-quietbox:tt1]   diffusion 1/200
00:36:56  [tt-quietbox:tt1]   diffusion 2/200
00:36:57  [tt-quietbox:tt1]   diffusion 3/200
00:36:57  [tt-quietbox:tt1]   diffusion 4/200
00:36:58  [tt-quietbox:tt1]   diffusion 5/200
00:36:58  [tt-quietbox:tt1]   diffusion 6/200
00:36:58  [tt-quietbox:tt1]   diffusion 7/200
00:36:59  [tt-quietbox:tt1]   diffusion 8/200
00:36:59  [tt-quietbox:tt1]   diffusion 9/200
00:37:00  [tt-quietbox:tt1]   diffusion 10/200
00:37:00  [tt-quietbox:tt1]   diffusion 11/200
00:37:01  [tt-quietbox:tt1]   diffusion 12/200
00:37:01  [tt-quietbox:tt1]   diffusion 13/200
00:37:02  [tt-quietbox:tt1]   diffusion 14/200
00:37:02  [tt-quietbox:tt1]   diffusion 15/200
00:37:02  [tt-quietbox:tt1]   diffusion 16/200
00:37:03  [tt-quietbox:tt1]   diffusion 17/200
00:37:03  [tt-quietbox:tt1]   diffusion 18/200
00:37:04  [tt-quietbox:tt1]   diffusion 19/200
00:37:04  [tt-quietbox:tt1]   diffusion 20/200
00:37:05  [tt-quietbox:tt1]   diffusion 21/200
00:37:05  [tt-quietbox:tt1]   diffusion 22/200
00:37:05  [tt-quietbox:tt1]   diffusion 23/200
00:37:06  [tt-quietbox:tt1]   diffusion 24/200
00:37:06  [tt-quietbox:tt1]   diffusion 25/200
00:37:07  [tt-quietbox:tt1]   diffusion 26/200
00:37:07  [tt-quietbox:tt1]   diffusion 27/200
00:37:08  [tt-quietbox:tt1]   diffusion 28/200
00:37:08  [tt-quietbox:tt1]   diffusion 29/200
00:37:09  [tt-quietbox:tt1]   diffusion 30/200
00:37:09  [tt-quietbox:tt1]   diffusion 31/200
00:37:09  [tt-quietbox:tt1]   diffusion 32/200
00:37:10  [tt-quietbox:tt1]   diffusion 33/200
00:37:10  [tt-quietbox:tt1]   diffusion 34/200
00:37:11  [tt-quietbox:tt1]   diffusion 35/200
00:37:11  [tt-quietbox:tt1]   diffusion 36/200
00:37:12  [tt-quietbox:tt1]   diffusion 37/200
00:37:12  [tt-quietbox:tt1]   diffusion 38/200
00:37:12  [tt-quietbox:tt1]   diffusion 39/200
