13:54:35  [pc:tt0]   diffusion 28/200
13:54:36  [pc:tt0]   diffusion 29/200
13:54:37  [pc:tt0]   diffusion 30/200
13:54:39  [pc:tt0]   diffusion 31/200
13:54:40  [pc:tt0]   diffusion 32/200
13:54:41  [pc:tt0]   diffusion 33/200
13:54:42  [pc:tt0]   diffusion 34/200
13:54:43  [pc:tt0]   diffusion 35/200
13:54:44  [pc:tt0]   diffusion 36/200
13:54:45  [pc:tt0]   diffusion 37/200
13:54:46  [pc:tt0]   diffusion 38/200
13:54:47  [pc:tt0]   diffusion 39/200
13:54:48  [pc:tt0]   diffusion 40/200
13:54:49  [pc:tt0]   diffusion 41/200
13:54:50  [pc:tt0]   diffusion 42/200
13:54:50  [pc:tt0]   diffusion 43/200
13:54:52  [pc:tt0]   diffusion 44/200
13:54:54  [pc:tt0]   diffusion 45/200
13:54:54  [pc:tt0]   diffusion 46/200
13:54:55  [pc:tt0]   diffusion 47/200
13:54:56  [pc:tt0]   diffusion 48/200
13:54:57  [pc:tt0]   diffusion 49/200
13:55:00  [pc:tt0]   diffusion 50/200
13:55:01  [pc:tt0]   diffusion 51/200
13:55:03  [pc:tt0]   diffusion 52/200
13:55:04  [pc:tt0]   diffusion 53/200
13:55:05  [pc:tt0]   diffusion 54/200
13:55:06  [pc:tt0]   diffusion 55/200
13:55:07  [pc:tt0]   diffusion 56/200
13:55:08  [pc:tt0]   diffusion 57/200
13:55:08  [pc:tt0]   diffusion 58/200
13:55:09  [pc:tt0]   diffusion 59/200
13:55:10  [pc:tt0]   diffusion 60/200
13:55:11  [pc:tt0]   diffusion 61/200
13:55:12  [pc:tt0]   diffusion 62/200
13:55:14  [pc:tt0]   diffusion 63/200
13:55:15  [pc:tt0]   diffusion 64/200
13:55:16  [pc:tt0]   diffusion 65/200
13:55:17  [pc:tt0]   diffusion 66/200
13:55:19  [pc:tt0]   diffusion 67/200
13:55:20  [pc:tt0]   diffusion 68/200
13:55:20  [pc:tt0]   diffusion 69/200
13:55:21  [pc:tt0]   diffusion 70/200
13:55:21  [pc:tt0]   diffusion 71/200
13:55:22  [pc:tt0]   diffusion 72/200
13:55:22  [pc:tt0]   diffusion 73/200
13:55:22  [pc:tt0]   diffusion 74/200
13:55:23  [pc:tt0]   diffusion 75/200
13:55:23  [pc:tt0]   diffusion 76/200
13:55:24  [pc:tt0]   diffusion 77/200
13:55:24  [pc:tt0]   diffusion 78/200
13:55:25  [pc:tt0]   diffusion 79/200
13:55:25  [pc:tt0]   diffusion 80/200
13:55:26  [pc:tt0]   diffusion 81/200
13:55:26  [pc:tt0]   diffusion 82/200
13:55:27  [pc:tt0]   diffusion 83/200
13:55:27  [pc:tt0]   diffusion 84/200
13:55:27  [pc:tt0]   diffusion 85/200
13:55:28  [pc:tt0]   diffusion 86/200
13:55:28  [pc:tt0]   diffusion 87/200
13:55:29  [pc:tt0]   diffusion 88/200
13:55:30  [pc:tt0]   diffusion 89/200
13:55:30  [pc:tt0]   diffusion 90/200
13:55:30  [pc:tt0]   diffusion 91/200
13:55:31  [pc:tt0]   diffusion 92/200
13:55:31  [pc:tt0]   diffusion 93/200
13:55:33  [pc:tt0]   diffusion 94/200
13:55:33  [pc:tt0]   diffusion 95/200
13:55:33  [pc:tt0]   diffusion 96/200
13:55:34  [pc:tt0]   diffusion 97/200
13:55:34  [pc:tt0]   diffusion 98/200
13:55:35  [pc:tt0]   diffusion 99/200
13:55:35  [pc:tt0]   diffusion 100/200
13:55:36  [pc:tt0]   diffusion 101/200
13:55:36  [pc:tt0]   diffusion 102/200
13:55:36  [pc:tt0]   diffusion 103/200
13:55:37  [pc:tt0]   diffusion 104/200
13:55:37  [pc:tt0]   diffusion 105/200
13:55:37  [pc:tt0]   diffusion 106/200
13:55:38  [pc:tt0]   diffusion 107/200
13:55:38  [pc:tt0]   diffusion 108/200
13:55:39  [pc:tt0]   diffusion 109/200
13:55:39  [pc:tt0]   diffusion 110/200
13:55:39  [pc:tt0]   diffusion 111/200
13:55:40  [pc:tt0]   diffusion 112/200
13:55:40  [pc:tt0]   diffusion 113/200
13:55:40  [pc:tt0]   diffusion 114/200
13:55:41  [pc:tt0]   diffusion 115/200
13:55:41  [pc:tt0]   diffusion 116/200
13:55:41  [pc:tt0]   diffusion 117/200
13:55:42  [pc:tt0]   diffusion 118/200
13:55:42  [pc:tt0]   diffusion 119/200
13:55:43  [pc:tt0]   diffusion 120/200
13:55:43  [pc:tt0]   diffusion 121/200
13:55:43  [pc:tt0]   diffusion 122/200
13:55:44  [pc:tt0]   diffusion 123/200
13:55:44  [pc:tt0]   diffusion 124/200
13:55:44  [pc:tt0]   diffusion 125/200
13:55:45  [pc:tt0]   diffusion 126/200
13:55:45  [pc:tt0]   diffusion 127/200
13:55:45  [pc:tt0]   diffusion 128/200
13:55:46  [pc:tt0]   diffusion 129/200
13:55:46  [pc:tt0]   diffusion 130/200
13:55:46  [pc:tt0]   diffusion 131/200
13:55:47  [pc:tt0]   diffusion 132/200
13:55:47  [pc:tt0]   diffusion 133/200
13:55:47  [pc:tt0]   diffusion 134/200
13:55:48  [pc:tt0]   diffusion 135/200
13:55:48  [pc:tt0]   diffusion 136/200
13:55:48  [pc:tt0]   diffusion 137/200
13:55:49  [pc:tt0]   diffusion 138/200
13:55:49  [pc:tt0]   diffusion 139/200
13:55:49  [pc:tt0]   diffusion 140/200
13:55:50  [pc:tt0]   diffusion 141/200
13:55:50  [pc:tt0]   diffusion 142/200
13:55:50  [pc:tt0]   diffusion 143/200
13:55:51  [pc:tt0]   diffusion 144/200
13:55:51  [pc:tt0]   diffusion 145/200
13:55:51  [pc:tt0]   diffusion 146/200
13:55:52  [pc:tt0]   diffusion 147/200
13:55:52  [pc:tt0]   diffusion 148/200
13:55:52  [pc:tt0]   diffusion 149/200
13:55:52  [pc:tt0]   diffusion 150/200
13:55:53  [pc:tt0]   diffusion 151/200
13:55:53  [pc:tt0]   diffusion 152/200
13:55:53  [pc:tt0]   diffusion 153/200
13:55:54  [pc:tt0]   diffusion 154/200
13:55:54  [pc:tt0]   diffusion 155/200
13:55:55  [pc:tt0]   diffusion 156/200
13:55:55  [pc:tt0]   diffusion 157/200
13:55:56  [pc:tt0]   diffusion 158/200
13:55:56  [pc:tt0]   diffusion 159/200
13:55:56  [pc:tt0]   diffusion 160/200
13:55:56  [pc:tt0]   diffusion 161/200
13:55:57  [pc:tt0]   diffusion 162/200
13:55:57  [pc:tt0]   diffusion 163/200
13:55:57  [pc:tt0]   diffusion 164/200
13:55:58  [pc:tt0]   diffusion 165/200
13:55:58  [pc:tt0]   diffusion 166/200
13:55:58  [pc:tt0]   diffusion 167/200
13:55:59  [pc:tt0]   diffusion 168/200
13:55:59  [pc:tt0]   diffusion 169/200
13:55:59  [pc:tt0]   diffusion 170/200
13:56:00  [pc:tt0]   diffusion 171/200
13:56:00  [pc:tt0]   diffusion 172/200
13:56:00  [pc:tt0]   diffusion 173/200
13:56:00  [pc:tt0]   diffusion 174/200
13:56:01  [pc:tt0]   diffusion 175/200
13:56:04  [pc:tt0]   diffusion 176/200
13:56:06  [pc:tt0]   diffusion 177/200
13:56:06  [pc:tt0]   diffusion 178/200
13:56:07  [pc:tt0]   diffusion 179/200
13:56:07  [pc:tt0]   diffusion 180/200
13:56:07  [pc:tt0]   diffusion 181/200
13:56:08  [pc:tt0]   diffusion 182/200
13:56:08  [pc:tt0]   diffusion 183/200
13:56:08  [pc:tt0]   diffusion 184/200
13:56:09  [pc:tt0]   diffusion 185/200
13:56:09  [pc:tt0]   diffusion 186/200
13:56:10  [pc:tt0]   diffusion 187/200
13:56:10  [pc:tt0]   diffusion 188/200
13:56:10  [pc:tt0]   diffusion 189/200
13:56:11  [pc:tt0]   diffusion 190/200
13:56:11  [pc:tt0]   diffusion 191/200
13:56:12  [pc:tt0]   diffusion 192/200
13:56:12  [pc:tt0]   diffusion 193/200
13:56:13  [pc:tt0]   diffusion 194/200
13:56:13  [pc:tt0]   diffusion 195/200
13:56:13  [pc:tt0]   diffusion 196/200
13:56:14  [pc:tt0]   diffusion 197/200
13:56:14  [pc:tt0]   diffusion 198/200
13:56:14  [pc:tt0]   diffusion 199/200
13:56:15  [pc:tt0]   confidence
13:56:32  [pc:tt0]   saving
13:56:32  [pc:tt0] ✓ 02_b108_tok688_bk704 — 304.0s
13:56:32  [pc:tt0] 03_b140_tok720_bk736
13:56:32  [pc:tt0]   prep
13:56:57  [pc:tt0]   trunk 0/10
13:57:50  [pc:tt0]   trunk 1/10
13:58:00  [pc:tt0]   trunk 2/10
13:58:10  [pc:tt0]   trunk 3/10
13:58:20  [pc:tt0]   trunk 4/10
13:58:29  [pc:tt0]   trunk 5/10
13:58:40  [pc:tt0]   trunk 6/10
13:58:49  [pc:tt0]   trunk 7/10
13:58:59  [pc:tt0]   trunk 8/10
13:59:09  [pc:tt0]   trunk 9/10
13:59:26  [pc:tt0]   diffusion 0/200
13:59:52  [pc:tt0]   diffusion 1/200
13:59:52  [pc:tt0]   diffusion 2/200
13:59:53  [pc:tt0]   diffusion 3/200
13:59:53  [pc:tt0]   diffusion 4/200
13:59:53  [pc:tt0]   diffusion 5/200
13:59:54  [pc:tt0]   diffusion 6/200
13:59:54  [pc:tt0]   diffusion 7/200
13:59:54  [pc:tt0]   diffusion 8/200
13:59:55  [pc:tt0]   diffusion 9/200
13:59:55  [pc:tt0]   diffusion 10/200
13:59:55  [pc:tt0]   diffusion 11/200
13:59:56  [pc:tt0]   diffusion 12/200
13:59:56  [pc:tt0]   diffusion 13/200
13:59:56  [pc:tt0]   diffusion 14/200
13:59:57  [pc:tt0]   diffusion 15/200
13:59:57  [pc:tt0]   diffusion 16/200
13:59:57  [pc:tt0]   diffusion 17/200
13:59:58  [pc:tt0]   diffusion 18/200
13:59:58  [pc:tt0]   diffusion 19/200
13:59:58  [pc:tt0]   diffusion 20/200
13:59:59  [pc:tt0]   diffusion 21/200
13:59:59  [pc:tt0]   diffusion 22/200
13:59:59  [pc:tt0]   diffusion 23/200
13:59:59  [pc:tt0]   diffusion 24/200
14:00:00  [pc:tt0]   diffusion 25/200
14:00:00  [pc:tt0]   diffusion 26/200
14:00:00  [pc:tt0]   diffusion 27/200
14:00:01  [pc:tt0]   diffusion 28/200
14:00:01  [pc:tt0]   diffusion 29/200
14:00:01  [pc:tt0]   diffusion 30/200
14:00:02  [pc:tt0]   diffusion 31/200
14:00:02  [pc:tt0]   diffusion 32/200
14:00:03  [pc:tt0]   diffusion 33/200
14:00:03  [pc:tt0]   diffusion 34/200
14:00:04  [pc:tt0]   diffusion 35/200
14:00:04  [pc:tt0]   diffusion 36/200
14:00:05  [pc:tt0]   diffusion 37/200
14:00:05  [pc:tt0]   diffusion 38/200
14:00:05  [pc:tt0]   diffusion 39/200
14:00:06  [pc:tt0]   diffusion 40/200
14:00:06  [pc:tt0]   diffusion 41/200
14:00:06  [pc:tt0]   diffusion 42/200
14:00:07  [pc:tt0]   diffusion 43/200
14:00:07  [pc:tt0]   diffusion 44/200
14:00:08  [pc:tt0]   diffusion 45/200
14:00:08  [pc:tt0]   diffusion 46/200
14:00:08  [pc:tt0]   diffusion 47/200
14:00:09  [pc:tt0]   diffusion 48/200
14:00:09  [pc:tt0]   diffusion 49/200
14:00:10  [pc:tt0]   diffusion 50/200
14:00:10  [pc:tt0]   diffusion 51/200
14:00:11  [pc:tt0]   diffusion 52/200
14:00:11  [pc:tt0]   diffusion 53/200
14:00:11  [pc:tt0]   diffusion 54/200
14:00:12  [pc:tt0]   diffusion 55/200
14:00:12  [pc:tt0]   diffusion 56/200
14:00:13  [pc:tt0]   diffusion 57/200
14:00:13  [pc:tt0]   diffusion 58/200
14:00:14  [pc:tt0]   diffusion 59/200
14:00:14  [pc:tt0]   diffusion 60/200
14:00:14  [pc:tt0]   diffusion 61/200
14:00:15  [pc:tt0]   diffusion 62/200
14:00:15  [pc:tt0]   diffusion 63/200
14:00:16  [pc:tt0]   diffusion 64/200
14:00:17  [pc:tt0]   diffusion 65/200
14:00:17  [pc:tt0]   diffusion 66/200
14:00:17  [pc:tt0]   diffusion 67/200
14:00:18  [pc:tt0]   diffusion 68/200
14:00:18  [pc:tt0]   diffusion 69/200
14:00:18  [pc:tt0]   diffusion 70/200
14:00:19  [pc:tt0]   diffusion 71/200
14:00:19  [pc:tt0]   diffusion 72/200
14:00:20  [pc:tt0]   diffusion 73/200
14:00:20  [pc:tt0]   diffusion 74/200
14:00:21  [pc:tt0]   diffusion 75/200
14:00:21  [pc:tt0]   diffusion 76/200
14:00:21  [pc:tt0]   diffusion 77/200
14:00:22  [pc:tt0]   diffusion 78/200
14:00:22  [pc:tt0]   diffusion 79/200
14:00:23  [pc:tt0]   diffusion 80/200
14:00:23  [pc:tt0]   diffusion 81/200
14:00:23  [pc:tt0]   diffusion 82/200
14:00:24  [pc:tt0]   diffusion 83/200
14:00:24  [pc:tt0]   diffusion 84/200
14:00:25  [pc:tt0]   diffusion 85/200
14:00:25  [pc:tt0]   diffusion 86/200
14:00:25  [pc:tt0]   diffusion 87/200
14:00:26  [pc:tt0]   diffusion 88/200
14:00:26  [pc:tt0]   diffusion 89/200
14:00:26  [pc:tt0]   diffusion 90/200
14:00:27  [pc:tt0]   diffusion 91/200
14:00:27  [pc:tt0]   diffusion 92/200
14:00:28  [pc:tt0]   diffusion 93/200
14:00:28  [pc:tt0]   diffusion 94/200
14:00:29  [pc:tt0]   diffusion 95/200
14:00:29  [pc:tt0]   diffusion 96/200
14:00:29  [pc:tt0]   diffusion 97/200
14:00:30  [pc:tt0]   diffusion 98/200
14:00:30  [pc:tt0]   diffusion 99/200
14:00:31  [pc:tt0]   diffusion 100/200
14:00:31  [pc:tt0]   diffusion 101/200
14:00:31  [pc:tt0]   diffusion 102/200
14:00:32  [pc:tt0]   diffusion 103/200
14:00:32  [pc:tt0]   diffusion 104/200
14:00:32  [pc:tt0]   diffusion 105/200
14:00:33  [pc:tt0]   diffusion 106/200
14:00:33  [pc:tt0]   diffusion 107/200
14:00:33  [pc:tt0]   diffusion 108/200
14:00:34  [pc:tt0]   diffusion 109/200
14:00:34  [pc:tt0]   diffusion 110/200
14:00:35  [pc:tt0]   diffusion 111/200
14:00:35  [pc:tt0]   diffusion 112/200
14:00:36  [pc:tt0]   diffusion 113/200
14:00:36  [pc:tt0]   diffusion 114/200
14:00:36  [pc:tt0]   diffusion 115/200
14:00:37  [pc:tt0]   diffusion 116/200
14:00:37  [pc:tt0]   diffusion 117/200
14:00:38  [pc:tt0]   diffusion 118/200
14:00:38  [pc:tt0]   diffusion 119/200
14:00:38  [pc:tt0]   diffusion 120/200
14:00:39  [pc:tt0]   diffusion 121/200
14:00:39  [pc:tt0]   diffusion 122/200
14:00:40  [pc:tt0]   diffusion 123/200
14:00:40  [pc:tt0]   diffusion 124/200
14:00:40  [pc:tt0]   diffusion 125/200
14:00:41  [pc:tt0]   diffusion 126/200
14:00:41  [pc:tt0]   diffusion 127/200
14:00:41  [pc:tt0]   diffusion 128/200
14:00:42  [pc:tt0]   diffusion 129/200
14:00:42  [pc:tt0]   diffusion 130/200
14:00:42  [pc:tt0]   diffusion 131/200
14:00:43  [pc:tt0]   diffusion 132/200
14:00:43  [pc:tt0]   diffusion 133/200
14:00:44  [pc:tt0]   diffusion 134/200
14:00:44  [pc:tt0]   diffusion 135/200
14:00:44  [pc:tt0]   diffusion 136/200
14:00:45  [pc:tt0]   diffusion 137/200
14:00:45  [pc:tt0]   diffusion 138/200
14:00:45  [pc:tt0]   diffusion 139/200
14:00:46  [pc:tt0]   diffusion 140/200
