[release-gate] granted card(s) [3]
[release-gate] scoring tt_bio from /home/ttuser/.coworker/wt/land-standing/tt_bio (commit 064e5ad5a)

======================================================================
[esmfold2-fast] folding prot.yaml (200 steps, 5 samples)
======================================================================
05:15:22  [tt-quietbox2:tt3] loading model…
05:15:50  [tt-quietbox2:tt3] prot
05:16:10  [tt-quietbox2:tt3]   diffusion 110/134
05:16:10  [tt-quietbox2:tt3]   diffusion 111/134
05:16:10  [tt-quietbox2:tt3]   diffusion 112/134
05:16:10  [tt-quietbox2:tt3]   diffusion 113/134
05:16:11  [tt-quietbox2:tt3]   diffusion 114/134
05:16:11  [tt-quietbox2:tt3]   diffusion 115/134
05:16:11  [tt-quietbox2:tt3]   diffusion 116/134
05:16:11  [tt-quietbox2:tt3]   diffusion 117/134
05:16:11  [tt-quietbox2:tt3]   diffusion 118/134
05:16:11  [tt-quietbox2:tt3]   diffusion 119/134
05:16:11  [tt-quietbox2:tt3]   diffusion 120/134
05:16:11  [tt-quietbox2:tt3]   diffusion 121/134
05:16:11  [tt-quietbox2:tt3]   diffusion 122/134
05:16:11  [tt-quietbox2:tt3]   diffusion 123/134
05:16:11  [tt-quietbox2:tt3]   diffusion 124/134
05:16:11  [tt-quietbox2:tt3]   diffusion 125/134
05:16:11  [tt-quietbox2:tt3]   diffusion 126/134
05:16:11  [tt-quietbox2:tt3]   diffusion 127/134
05:16:12  [tt-quietbox2:tt3]   diffusion 128/134
05:16:12  [tt-quietbox2:tt3]   diffusion 129/134
05:16:12  [tt-quietbox2:tt3]   diffusion 130/134
05:16:12  [tt-quietbox2:tt3]   diffusion 131/134
05:16:12  [tt-quietbox2:tt3]   diffusion 132/134
05:16:12  [tt-quietbox2:tt3]   diffusion 133/134
05:16:12  [tt-quietbox2:tt3]   confidence
05:16:14  [tt-quietbox2:tt3]   saving
05:16:14  [tt-quietbox2:tt3] ✓ prot — 23.7s

Done: 1 ok, 0 failed — /home/ttuser/.coworker/wt/land-standing/esmfold2_results_prot/results.json
Predicted chains: [('A', 117)]
Ground truth chains: [('A', 117)]

Best chain matching (117 common residues of 117 predicted / 117 ground truth):
  A -> A (117 common residues)

==================================================
Protein: prot, Model: 0
RMSD: 1.7079 Å   TM-score: 0.9183
==================================================

Predicted chains: [('A', 117)]
Ground truth chains: [('A', 117)]

Best chain matching (117 common residues of 117 predicted / 117 ground truth):
  A -> A (117 common residues)

==================================================
Protein: prot, Model: 1
RMSD: 1.7732 Å   TM-score: 0.9195
==================================================

Predicted chains: [('A', 117)]
Ground truth chains: [('A', 117)]

Best chain matching (117 common residues of 117 predicted / 117 ground truth):
  A -> A (117 common residues)

==================================================
Protein: prot, Model: 2
RMSD: 1.6481 Å   TM-score: 0.9221
==================================================

Predicted chains: [('A', 117)]
Ground truth chains: [('A', 117)]

Best chain matching (117 common residues of 117 predicted / 117 ground truth):
  A -> A (117 common residues)

==================================================
Protein: prot, Model: 3
RMSD: 1.8669 Å   TM-score: 0.9111
==================================================

Predicted chains: [('A', 117)]
Ground truth chains: [('A', 117)]

Best chain matching (117 common residues of 117 predicted / 117 ground truth):
  A -> A (117 common residues)

==================================================
Protein: prot, Model: 4
RMSD: 1.7896 Å   TM-score: 0.9118
==================================================

############################################################
GROUND-TRUTH ACCURACY — prot (5 samples)
  model 0: RMSD  1.708 Å   TM 0.918 <- best confidence (gated)
  model 1: RMSD  1.773 Å   TM 0.919
  model 2: RMSD  1.648 Å   TM 0.922
  model 3: RMSD  1.867 Å   TM 0.911
  model 4: RMSD  1.790 Å   TM 0.912
  oracle-best sample: model 2 RMSD 1.648 Å TM 0.922
############################################################

[esmfold2-fast] geometry (5 sample(s), worst): in band 1.0 (A/protein), backbone gaps 0, clashes 1/899 (0.0011, worst contact 1.884 A)

##############################################################################
RELEASE GATE — prot.yaml (prot), 200 steps / 5 samples, seed 0
##############################################################################
model            RMSD (A)      TM           floor  in band  gaps        clash    wall  result
esmfold2-fast       1.708   0.918     <=4.5/>=0.6   1.0000     0    1(0.0011)     67s  PASS
##############################################################################
geometry floors, check_structure.py's own bands: in band >= 0.9 (protein) / 0.85 (nucleic), zero backbone gaps beyond 5.0 / 9.5 A, clashes <= max(2, 0.02 x heavy atoms)
GATE PASS — all models cleared parse + ground-truth floor + geometry
