utc,sm_mhz,sm_max_mhz,mem_mhz,power_w,power_limit_w,temp_c,util_pct,throttle,n_apps,apps_mem_mib
2026-09-18T20:06:30Z,210,1410,1593,60.14,400.00,24,0,1,0,
2026-09-18T20:06:35Z,210,1410,1593,60.14,400.00,23,0,1,0,
2026-09-18T20:06:41Z,210,1410,1593,60.21,400.00,23,0,1,0,
2026-09-18T20:06:46Z,210,1410,1593,60.14,400.00,23,0,1,0,
2026-09-18T20:06:51Z,210,1410,1593,60.14,400.00,23,0,1,0,
2026-09-18T20:06:56Z,210,1410,1593,60.14,400.00,23,0,1,0,
2026-09-18T20:07:01Z,210,1410,1593,60.14,400.00,23,0,1,0,
2026-09-18T20:07:06Z,210,1410,1593,60.21,400.00,23,0,1,0,
2026-09-18T20:07:12Z,210,1410,1593,60.28,400.00,23,0,1,0,
2026-09-18T20:07:17Z,210,1410,1593,60.35,400.00,23,0,1,0,
2026-09-18T20:07:22Z,210,1410,1593,59.99,400.00,23,0,1,0,
2026-09-18T20:07:27Z,210,1410,1593,59.85,400.00,23,0,1,0,
2026-09-18T20:07:32Z,210,1410,1593,59.85,400.00,23,0,1,0,
2026-09-18T20:07:38Z,210,1410,1593,60.07,400.00,23,0,1,0,
2026-09-18T20:07:43Z,210,1410,1593,60.07,400.00,23,0,1,0,
2026-09-18T20:07:48Z,210,1410,1593,59.92,400.00,23,0,1,0,
2026-09-18T20:07:53Z,210,1410,1593,60.07,400.00,23,0,1,0,
2026-09-18T20:07:58Z,210,1410,1593,60.21,400.00,23,0,1,0,
2026-09-18T20:08:04Z,210,1410,1593,60.07,400.00,23,0,1,0,
2026-09-18T20:08:09Z,210,1410,1593,59.92,400.00,23,0,1,0,
2026-09-18T20:08:14Z,210,1410,1593,59.93,400.00,23,0,1,0,
2026-09-18T20:08:19Z,210,1410,1593,59.92,400.00,22,0,1,0,
2026-09-18T20:08:24Z,210,1410,1593,59.85,400.00,22,0,1,0,
2026-09-18T20:08:29Z,210,1410,1593,59.85,400.00,22,0,1,0,
2026-09-18T20:08:35Z,210,1410,1593,59.92,400.00,22,0,1,0,
2026-09-18T20:08:40Z,210,1410,1593,60.13,400.00,22,0,1,0,
2026-09-18T20:08:45Z,210,1410,1593,59.99,400.00,22,0,1,0,
2026-09-18T20:08:50Z,210,1410,1593,60.06,400.00,22,0,1,0,
2026-09-18T20:08:55Z,210,1410,1593,59.85,400.00,22,0,1,0,
2026-09-18T20:09:01Z,210,1410,1593,59.85,400.00,22,0,1,0,
2026-09-18T20:09:06Z,210,1410,1593,59.92,400.00,22,0,1,0,
2026-09-18T20:09:11Z,210,1410,1593,59.85,400.00,22,0,1,0,
2026-09-18T20:09:16Z,210,1410,1593,59.92,400.00,22,0,1,0,
2026-09-18T20:09:21Z,210,1410,1593,59.92,400.00,22,0,1,0,
2026-09-18T20:09:26Z,210,1410,1593,59.92,400.00,22,0,1,0,
2026-09-18T20:09:32Z,210,1410,1593,59.85,400.00,22,0,1,0,
2026-09-18T20:09:37Z,210,1410,1593,59.92,400.00,22,0,1,0,
2026-09-18T20:09:42Z,210,1410,1593,59.92,400.00,22,0,1,0,
2026-09-18T20:09:47Z,210,1410,1593,59.92,400.00,22,0,1,0,
2026-09-18T20:09:52Z,210,1410,1593,59.78,400.00,22,0,1,0,
2026-09-18T20:09:58Z,210,1410,1593,59.85,400.00,22,0,1,0,
2026-09-18T20:10:03Z,210,1410,1593,59.92,400.00,22,0,1,0,
2026-09-18T20:10:08Z,210,1410,1593,59.99,400.00,22,0,1,0,
2026-09-18T20:10:13Z,210,1410,1593,59.75,400.00,22,0,1,0,
2026-09-18T20:10:18Z,210,1410,1593,59.75,400.00,22,0,1,0,
2026-09-18T20:10:24Z,210,1410,1593,59.88,400.00,22,0,1,0,
2026-09-18T20:10:29Z,210,1410,1593,59.88,400.00,22,0,1,0,
2026-09-18T20:10:34Z,210,1410,1593,60.13,400.00,22,0,1,0,
2026-09-18T20:10:39Z,210,1410,1593,59.88,400.00,22,0,1,0,
2026-09-18T20:10:44Z,210,1410,1593,59.88,400.00,22,0,1,0,
2026-09-18T20:10:49Z,210,1410,1593,59.75,400.00,22,0,1,0,
2026-09-18T20:10:55Z,210,1410,1593,59.88,400.00,22,0,1,0,
2026-09-18T20:11:00Z,210,1410,1593,59.88,400.00,22,0,1,0,
2026-09-18T20:11:05Z,210,1410,1593,59.92,400.00,22,0,1,0,
2026-09-18T20:11:10Z,210,1410,1593,59.88,400.00,22,0,1,0,
2026-09-18T20:11:15Z,210,1410,1593,59.75,400.00,22,0,1,0,
2026-09-18T20:11:21Z,210,1410,1593,59.75,400.00,21,0,1,0,
2026-09-18T20:11:26Z,210,1410,1593,59.88,400.00,21,0,1,0,
2026-09-18T20:11:31Z,210,1410,1593,59.82,400.00,21,0,1,0,
2026-09-18T20:11:36Z,210,1410,1593,59.88,400.00,21,0,1,0,
2026-09-18T20:11:41Z,210,1410,1593,59.61,400.00,21,0,1,0,
2026-09-18T20:11:46Z,210,1410,1593,59.75,400.00,21,0,1,0,
2026-09-18T20:11:51Z,1410,1410,1593,152.91,400.00,25,0,0,1,11486
2026-09-18T20:11:57Z,1410,1410,1593,83.16,400.00,25,69,0,1,11528
2026-09-18T20:12:02Z,1410,1410,1593,84.62,400.00,26,68,0,1,11528
2026-09-18T20:12:07Z,1410,1410,1593,182.04,400.00,27,65,0,1,11528
2026-09-18T20:12:12Z,1410,1410,1593,129.10,400.00,28,69,0,1,11528
2026-09-18T20:12:17Z,1410,1410,1593,267.08,400.00,28,29,0,1,14688
2026-09-18T20:12:22Z,1410,1410,1593,81.99,400.00,26,0,0,1,17900
2026-09-18T20:12:27Z,1410,1410,1593,82.34,400.00,26,24,0,1,21188
2026-09-18T20:12:32Z,1410,1410,1593,119.90,400.00,27,44,0,1,21188
2026-09-18T20:12:38Z,1410,1410,1593,82.82,400.00,27,64,0,1,21188
2026-09-18T20:12:43Z,1410,1410,1593,123.79,400.00,28,63,0,1,21188
2026-09-18T20:12:48Z,1410,1410,1593,177.50,400.00,29,70,0,1,21188
2026-09-18T20:12:53Z,1410,1410,1593,82.53,400.00,27,0,0,1,21188
2026-09-18T20:12:58Z,1410,1410,1593,82.28,400.00,27,0,0,1,21200
2026-09-18T20:13:03Z,1410,1410,1593,83.89,400.00,26,8,0,1,21200
2026-09-18T20:13:08Z,1410,1410,1593,82.28,400.00,26,10,0,1,21200
2026-09-18T20:13:14Z,1410,1410,1593,82.19,400.00,26,0,0,1,21204
2026-09-18T20:13:19Z,1410,1410,1593,82.34,400.00,26,4,0,1,21208
2026-09-18T20:13:24Z,1410,1410,1593,146.27,400.00,27,26,0,1,21214
2026-09-18T20:13:29Z,1410,1410,1593,82.34,400.00,26,0,0,1,21218
2026-09-18T20:13:34Z,1410,1410,1593,83.16,400.00,26,26,0,1,21222
2026-09-18T20:13:39Z,1410,1410,1593,111.18,400.00,27,25,0,1,21230
2026-09-18T20:13:45Z,1410,1410,1593,82.34,400.00,26,27,0,1,21234
2026-09-18T20:13:50Z,1410,1410,1593,83.99,400.00,26,24,0,1,21238
2026-09-18T20:13:55Z,1410,1410,1593,82.38,400.00,26,10,0,1,21242
2026-09-18T20:14:00Z,1410,1410,1593,195.01,400.00,27,29,0,1,21246
2026-09-18T20:14:05Z,1410,1410,1593,87.40,400.00,27,35,0,1,21250
2026-09-18T20:14:10Z,1410,1410,1593,82.53,400.00,26,0,0,1,21254
2026-09-18T20:14:15Z,1410,1410,1593,81.74,400.00,26,7,0,1,21258
2026-09-18T20:14:21Z,1410,1410,1593,82.19,400.00,26,21,0,1,21262
2026-09-18T20:14:26Z,1410,1410,1593,86.33,400.00,27,31,0,1,21266
2026-09-18T20:14:31Z,1410,1410,1593,84.96,400.00,27,36,0,1,21270
2026-09-18T20:14:36Z,1410,1410,1593,148.34,400.00,27,35,0,1,21274
2026-09-18T20:14:41Z,1410,1410,1593,82.28,400.00,26,0,0,1,21282
2026-09-18T20:14:46Z,1275,1410,1593,72.23,400.00,25,0,0,1,21282
2026-09-18T20:14:51Z,1275,1410,1593,72.23,400.00,24,0,0,1,21282
2026-09-18T20:14:56Z,1275,1410,1593,73.55,400.00,24,0,0,1,21282
2026-09-18T20:15:01Z,1275,1410,1593,71.94,400.00,24,0,0,1,21282
2026-09-18T20:15:07Z,1275,1410,1593,71.94,400.00,24,0,0,1,21282
2026-09-18T20:15:12Z,1275,1410,1593,71.70,400.00,23,0,0,1,21282
2026-09-18T20:15:17Z,1275,1410,1593,71.94,400.00,23,0,0,1,21282
2026-09-18T20:15:22Z,1275,1410,1593,71.70,400.00,23,0,0,1,21282
2026-09-18T20:15:27Z,1275,1410,1593,71.70,400.00,23,0,0,1,21282
2026-09-18T20:15:32Z,1275,1410,1593,71.53,400.00,23,0,0,1,21282
2026-09-18T20:15:37Z,1275,1410,1593,71.70,400.00,23,0,0,1,21282
2026-09-18T20:15:42Z,1275,1410,1593,72.23,400.00,23,0,0,1,21282
2026-09-18T20:15:47Z,1275,1410,1593,71.53,400.00,23,0,0,1,21282
2026-09-18T20:15:52Z,1275,1410,1593,71.77,400.00,23,0,0,1,21282
2026-09-18T20:15:58Z,1275,1410,1593,71.94,400.00,23,0,0,1,21282
2026-09-18T20:16:03Z,1275,1410,1593,71.94,400.00,23,0,0,1,21282
2026-09-18T20:16:08Z,1275,1410,1593,71.94,400.00,23,0,0,1,21282
2026-09-18T20:16:13Z,1275,1410,1593,71.94,400.00,23,0,0,1,21282
2026-09-18T20:16:18Z,1275,1410,1593,71.77,400.00,23,0,0,1,21282
2026-09-18T20:16:23Z,1275,1410,1593,71.86,400.00,23,0,0,1,21282
2026-09-18T20:16:28Z,1275,1410,1593,71.77,400.00,23,0,0,1,21282
2026-09-18T20:16:33Z,1275,1410,1593,72.93,400.00,23,0,0,1,21282
2026-09-18T20:16:38Z,1275,1410,1593,71.77,400.00,23,0,0,1,21282
2026-09-18T20:16:44Z,1275,1410,1593,71.77,400.00,23,0,0,1,21282
2026-09-18T20:16:49Z,1275,1410,1593,71.53,400.00,23,0,0,1,21282
2026-09-18T20:16:54Z,1275,1410,1593,72.07,400.00,23,0,0,1,21282
2026-09-18T20:16:59Z,1275,1410,1593,71.94,400.00,23,0,0,1,21282
2026-09-18T20:17:04Z,1275,1410,1593,71.94,400.00,23,0,0,1,21282
2026-09-18T20:17:09Z,1275,1410,1593,71.94,400.00,23,0,0,1,21282
2026-09-18T20:17:14Z,1275,1410,1593,71.94,400.00,24,0,0,1,21282
2026-09-18T20:17:19Z,1275,1410,1593,72.23,400.00,24,0,0,1,21282
2026-09-18T20:17:24Z,1275,1410,1593,71.70,400.00,24,0,0,1,21282
2026-09-18T20:17:29Z,1275,1410,1593,71.70,400.00,24,0,0,1,21282
2026-09-18T20:17:35Z,1275,1410,1593,71.70,400.00,24,0,0,1,21282
2026-09-18T20:17:40Z,1275,1410,1593,72.23,400.00,24,0,0,1,21282
2026-09-18T20:17:45Z,1275,1410,1593,72.07,400.00,24,0,0,1,21282
2026-09-18T20:17:50Z,1275,1410,1593,71.94,400.00,24,0,0,1,21282
2026-09-18T20:17:55Z,1275,1410,1593,71.94,400.00,24,0,0,1,21282
2026-09-18T20:18:00Z,1275,1410,1593,72.11,400.00,24,0,0,1,21282
2026-09-18T20:18:05Z,1275,1410,1593,72.11,400.00,24,0,0,1,21282
2026-09-18T20:18:10Z,1275,1410,1593,72.11,400.00,24,0,0,1,21282
2026-09-18T20:18:15Z,1275,1410,1593,72.11,400.00,24,0,0,1,21282
2026-09-18T20:18:20Z,1275,1410,1593,72.40,400.00,24,0,0,1,21282
2026-09-18T20:18:26Z,1275,1410,1593,72.64,400.00,24,0,0,1,21282
2026-09-18T20:18:31Z,1275,1410,1593,72.11,400.00,24,0,0,1,21282
2026-09-18T20:18:36Z,1275,1410,1593,72.11,400.00,24,0,0,1,21282
2026-09-18T20:18:41Z,1275,1410,1593,72.11,400.00,24,0,0,1,21282
2026-09-18T20:18:46Z,1275,1410,1593,72.11,400.00,24,0,0,1,21282
2026-09-18T20:18:51Z,1275,1410,1593,72.23,400.00,25,0,0,1,21282
2026-09-18T20:18:56Z,1275,1410,1593,72.11,400.00,25,0,0,1,21282
